País 2008,Qtd 2009,Valor 2009,Qtd 2010,Valor 2010,Qtd 2011,Valor 2011,Qtd 2012,Valor 2012,Qtd 2013,Valor 2013,Qtd 2014,Valor 2014,Qtd 2015,Valor 2015,Qtd 2016,Valor 2016,Qtd 2017,Valor 2017,Qtd 2018,Valor 2018,Qtd 2019,Valor 2019,Qtd 2020,Valor 2020,Qtd 2021,Valor 2021,Qtd 2022,Valor 2022,Qtd 2023,Valor 2023
Moçambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,1927,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,9,20,14,65,0,0,0,0
Namíbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicarágua,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigéria,41,115,0,0,54,210,6449,10196,1350,2245,0,0,0,0,0,0,0,0,5175,6250,28437,38555,12094,26514,68247,113172,32234,50283,10800,16464
Noruega,0,0,0,0,10268,78688,5104,31515,2375,19008,7179,50464,1058,6021,0,0,0,0,1295,9847,628,3139,1859,15134,1878,8320,2711,40316,861,4243
Nova Caledônia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7227,11924,0,0,0,0
Nova Zelândia,0,0,0,0,2587,7992,2364,8817,1004,4092,2800,13675,809,3476,504,9472,1678,8140,969,5565,500,2832,95,515,657,10477,63,156,338,7177
Omã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,670,0,0
Países Baixos,171654,136991,87368,302182,125414,395356,134879,539641,57792,255690,165289,773767,44987,186464,42953,190203,0,0,9451,32395,44882,148031,248,1532,3791,8484,7034,37240,2244,4958
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,143
Panamá,24,30,0,0,0,0,39,2262,0,0,0,0,0,0,0,0,0,0,1183,3117,7918,29017,10821,28372,29520,48444,11490,49392,14785,68173
Paraguai,486927,392087,510989,449197,240168,276281,354824,428279,481564,680828,521847,908028,495428,741370,985739,1655417,2393468,4274650,3234168,5494321,2419537,3826587,3299013,3869243,6522527,7192362,5076670,7156293,3780378,5517263
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5193,19372,9755,17310,0,0,9720,17107,0,0,47277,84282
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22
Polônia,6982,35797,20464,95198,11732,50684,21663,89158,19249,90960,30181,107957,11654,42781,11457,35402,0,0,720,4679,5,11,74,86,4,14,0,0,298,590
Porto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,141000,168923,4577,18970,95,1031,47172,47022,23810,17627,71544,79141,47736,42586,0,0,0,0,0,0,18328,72413,7958,34518,6358,42633,1918,7613,13742,46311
Quênia,0,0,0,0,0,0,94,458,6,4,0,0,0,0,0,0,0,0,6771,31225,0,0,0,0,0,0,1440,2080,0,0
Reino Unido,30092,68788,123624,295690,122629,285642,82937,334856,59161,305005,305807,1373747,68382,308407,117044,536681,60711,242883,67708,296827,34295,164592,22913,82722,25316,122394,18835,138154,11326,84547
República Dominicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rússia,21912914,5732280,0,0,0,0,4528176,2103968,5893291,14795694,190656,61440,47664,18240,0,0,0,0,0,0,0,0,1463,8550,181931,312926,66046,118618,0,0
São Cristóvão e Névis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31
São Tomé e Príncipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184,2357,0,0,0,0,0,0,0,0,0,0
São Vicente e Granadinas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48,20,51,39,139
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serra Leoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,717,9240,13050,6525,12955,8101,15182,23200,38548
Sérvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4504,14346,4322,15434,3941,19781
Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,0,0,0
Suécia,28334,52826,0,0,1641,14476,2705,17280,3195,20183,10404,51057,1412,6404,291,1214,15445,64953,8062,34563,28,761,6,24,23,74,5,18,0,0
Suíça,27653,81319,2025,21600,0,0,4014,47240,2997,29785,27933,231762,15872,85790,4230,33340,6525,74816,0,0,2223,28503,2827,27930,627,6999,1584,20863,2500,28763
Suriname,3830,12918,1836,1269,3774,3735,396,1288,1800,2960,6,19,453,713,900,1375,3690,5638,0,0,3206,4741,4185,5277,900,1472,1225,3360,3105,5235
Tailândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,45,128,832,534,1753,1334,2529,432,1713,189,1387
Taiwan (Formosa),0,0,0,0,4500,10600,0,0,0,0,12519,67907,7200,23940,16967,80379,14988,43954,7589,18421,12,67,963,4673,1313,8153,25,277,4208,19998
Tanzânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tcheca, República",9269,43902,1091,5285,6846,37271,7960,27789,3697,23549,4500,35005,2297,15304,3837,28473,2746,16947,2712,20980,2115,16391,563,4805,456,5988,1305,9997,405,3348
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,2012,17317,25608,14550,25235
Toquelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
Trinidade Tobago,0,0,0,0,0,0,531,2720,0,0,360,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunísia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,150,115,209,0,0,343,878,418,503,28104,95421
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
Uruguai,0,0,914,2929,1238,4404,1135,3879,1526,13343,0,0,0,0,0,0,0,0,7711,29617,6180,18497,0,0,136774,149842,637117,997367,326093,454271
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,0,0,0,0,0,0
Venezuela,0,0,0,0,0,0,1029,7492,0,0,14,232,0,0,0,0,680,2646,71,355,0,0,4086,9808,26415,35944,23220,32351,141030,220512
Vietnã,743,2143,8820,9977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,86,584,0,0,130,277,72,128
Total,25514198,8940988,1280574,2595303,1214834,3615120,5775376,5521293,9149059,22744845,2324029,7472795,1198479,2769160,1786549,4434704,2889572,7135607,3856162,7486063,3152873,5934826,4409717,6078288,8058704,9851942,7025983,10945282,5538888,8923076
